client,server,condition,repetition,n_pings,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,mdev_ms,packet_loss
srv01,st05,100pct,1,500,0.066464,0.07554656359187413,0.03,1.21,0.052,0.11605000000000001,0.4023799999999997,0.075,0.0
srv01,st05,100pct,2,500,0.051003999999999994,0.03775280828052574,0.029,0.685,0.043,0.088,0.1410999999999999,0.037,0.0
srv01,st05,100pct,3,500,0.070438,0.10746711365359203,0.029,1.86,0.051,0.13005000000000003,0.4140799999999981,0.107,0.0
srv01,st06,idle,1,500,0.052059999999999995,0.00908721932772729,0.033,0.124,0.05,0.06805000000000001,0.07702999999999997,0.009,0.0
srv01,st06,idle,2,500,0.048312,0.011435392095803689,0.03,0.141,0.046,0.069,0.08408999999999993,0.011,0.0
srv01,st06,idle,3,500,0.05072,0.011356563876726636,0.03,0.109,0.048,0.07105000000000002,0.08901999999999997,0.011,0.0
srv01,st06,50pct,1,500,0.041766,0.01534817177234823,0.025,0.138,0.038,0.07,0.10700999999999998,0.015,0.0
srv01,st06,50pct,2,500,0.05748399999999999,0.2081461972336888,0.026,4.67,0.041,0.097,0.14716999999999983,0.208,0.0
srv01,st06,50pct,3,500,0.04062999999999999,0.013809798008735833,0.027,0.191,0.037,0.06,0.09208999999999992,0.013,0.0
srv01,st06,100pct,1,500,0.117684,0.08471524945948021,0.037,0.545,0.088,0.30215000000000003,0.39208999999999994,0.084,0.0
srv01,st06,100pct,2,500,0.06686999999999999,0.08050154095539033,0.027,1.58,0.049,0.134,0.23801999999999998,0.08,0.0
srv01,st06,100pct,3,500,0.09782800000000003,0.07287287099225134,0.032,0.571,0.0665,0.25005,0.31305,0.072,0.0
srv01,st07,idle,1,500,0.05886400000000001,0.015606172151377698,0.033,0.166,0.055,0.08905,0.106,0.015,0.0
srv01,st07,idle,2,500,0.058554,0.014295587138108263,0.03,0.136,0.055,0.08305000000000001,0.10301999999999999,0.014,0.0
srv01,st07,idle,3,500,0.06348999999999999,0.0349947877596176,0.032,0.645,0.059,0.091,0.11001999999999998,0.034,0.0
srv01,st07,50pct,1,500,0.038179999999999985,0.014992569970109101,0.025,0.222,0.0345,0.059,0.08302999999999998,0.015,0.0
srv01,st07,50pct,2,500,0.042994,0.01272138480129129,0.027,0.172,0.04,0.06605000000000003,0.08204999999999996,0.012,0.0
srv01,st07,50pct,3,500,0.050019999999999995,0.013263311459123751,0.029,0.104,0.047,0.07505,0.093,0.013,0.0
srv01,st07,100pct,1,500,0.06461199999999999,0.08941186957469172,0.027,1.25,0.045,0.132,0.3986899999999994,0.089,0.0
srv01,st07,100pct,2,500,0.106334,0.08123909172343137,0.032,0.484,0.0755,0.2924500000000001,0.35612999999999984,0.081,0.0
srv01,st07,100pct,3,500,0.065176,0.04764890197810899,0.031,0.556,0.051,0.14430000000000004,0.27308999999999994,0.047,0.0
srv01,st08,idle,1,500,0.043452000000000005,0.007540119548495979,0.028,0.107,0.043,0.055,0.06601999999999998,0.007,0.0
srv01,st08,idle,2,500,0.048716,0.00842694314336361,0.03,0.097,0.048,0.063,0.07800999999999998,0.008,0.0
srv01,st08,idle,3,500,0.05110599999999999,0.011703705286569282,0.03,0.132,0.049,0.07405,0.08802999999999997,0.011,0.0
srv01,st08,50pct,1,500,0.048243999999999995,0.042648496485867,0.027,0.794,0.04,0.08505000000000003,0.15003999999999995,0.042,0.0
srv01,st08,50pct,2,500,0.049273999999999984,0.03377158515568755,0.027,0.334,0.04,0.10705,0.217,0.033,0.0
